Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  08:15:00,-9.725,2086.815791433384,1.0,278.97248314719988,1.0,278.97248314719988,2086.815791433384,5.56506178775673,8.337577308154556,5.5173676365916439,-5.725782681447754,4.949339898657202 
 01/01  08:30:00,-9.45,2767.9378779303476,1.0,364.91995730569456,1.0,364.91995730569456,2767.9378779303476,6.008353792778127,13.414899308233318,6.944973393285807,-4.709680502203923,5.16212628200639 
 01/01  08:45:00,-9.175,3218.565662333929,1.0,420.35879993239237,1.0,420.35879993239237,3218.565662333929,6.323255999837209,16.172363825860363,7.90563067069445,-4.081779682561091,5.400054511373793 
 01/01  09:00:00,-8.9,3686.3541246726838,1.0,478.00138373643099,1.0,478.00138373643099,3686.3541246726838,6.692154960832989,19.166984652609174,8.860164832646092,-3.432540325666423,5.652525064551454 
 01/01  09:15:00,-8.350000000000002,4164.025637772173,1.0,536.9185644770597,1.0,536.9185644770597,4164.025637772173,7.008200112282865,20.2831435551069,9.845104122946396,-2.7430115883032615,5.919518996082601 
 01/01  09:30:00,-7.800000000000001,4658.1992669907199,1.0,598.0969199229219,1.0,598.0969199229219,4658.1992669907199,7.353332756301594,21.535077774291915,10.846242572966844,-2.0550009701374849,6.206952596750471 
 01/01  09:45:00,-7.25,4982.382903318478,1.0,637.6133352894237,1.0,637.6133352894237,4982.382903318478,7.621808023491721,21.593794192645473,11.57348314273537,-1.5693556994098117,6.328012678521965 
 01/01  10:00:00,-6.7,5301.7914868729289,1.0,676.6412284283772,1.0,676.6412284283772,5301.7914868729289,7.869618730824181,21.75198778098261,12.249301167416548,-1.0902372770010516,6.565601773936984 
 01/01  10:15:00,-6.275,5615.3892139187669,1.0,715.0112779846514,1.0,715.0112779846514,5615.3892139187669,8.166119028346487,23.848796860183474,12.936951563754917,-0.39172954924708849,6.749025542048216 
 01/01  10:30:00,-5.85,5921.605239651241,1.0,752.5077794605232,1.0,752.5077794605232,5921.605239651241,8.527360479018354,25.785525603985165,13.650397221342019,0.29205028128518509,7.1777601288748429 
 01/01  10:45:00,-5.425,5830.598322830478,1.0,742.5988714321785,1.0,742.5988714321785,5830.598322830478,8.803856676618672,25.63906677882972,13.853609972141385,0.5932193058864641,7.556358469984588 
 01/01  11:00:00,-5.0,5700.560052320596,1.0,727.8169025450712,1.0,727.8169025450712,5700.560052320596,9.043426903884898,25.409994541647696,13.970849910523384,0.8633778337310787,7.877355340112219 
 01/01  11:15:00,-4.575,5476.933627376162,1.0,700.3759009170325,1.0,700.3759009170325,5476.933627376162,9.212255469868677,24.667814242613838,13.924542694758202,1.075263225173103,8.147620269763243 
 01/01  11:30:00,-4.15,5311.085703913761,1.0,681.6705029034473,1.0,681.6705029034473,5311.085703913761,9.367272363915,24.336949360301298,13.93293637557656,1.3498193113392177,8.381126221152078 
 01/01  11:45:00,-3.7249999999999998,4662.690913837487,1.0,602.01865277251,1.0,602.01865277251,4662.690913837487,9.308581064646666,21.309614847953193,13.220083191410652,1.1547048229505209,8.555992038353145 
 01/01  12:00:00,-3.3,3808.078239646894,1.0,493.55004396206007,1.0,493.55004396206007,3808.078239646894,9.120328836216693,17.13143511239497,12.060398028491705,0.7129741770663145,8.64705262493667 
 01/01  12:15:00,-3.0249999999999996,3144.315777772823,1.0,412.335026418112,1.0,412.335026418112,3144.315777772823,8.990239635727522,14.287746703104297,11.127946450712955,0.41424467286219626,8.671248208682825 
 01/01  12:30:00,-2.75,2302.9217937998539,1.0,305.94037763660148,1.0,305.94037763660148,2302.9217937998539,8.684330065177895,10.114959138878298,9.827829048190779,-0.10754624874493857,8.638890896608505 
 01/01  12:45:00,-2.475,2102.48607738755,1.0,281.0763483922329,1.0,281.0763483922329,2102.48607738755,8.657811544833188,9.602863362661209,9.514102836309121,0.013990570906457834,8.589603851319036 
 01/01  13:00:00,-2.2,1906.2257139727472,1.0,256.7721209415886,1.0,256.7721209415886,1906.2257139727472,8.623757661662312,8.996323181669267,9.274699200264877,0.16001373557094213,8.547531494253065 
 01/01  13:15:00,-1.9250000000000003,1557.1925362932798,1.0,210.73276284570657,1.0,210.73276284570657,1557.1925362932798,8.480265858562668,7.449198747403461,8.708063931654579,0.08887045404219407,8.510036070186052 
